circuit,type_circuit,circuit_nationality
Kyalami,Race circuit,ZAF
Autódromo Juan y Oscar Gálvez,Race circuit,ARG
Autódromo José Carlos Pace,Race circuit,BRA
Long Beach,Street circuit,USA
Zolder,Race circuit,BEL
Watkins Glen,Race circuit,USA
Circuit de Monaco,Street circuit,MCO
Circuit Paul Ricard,Race circuit,FRA
Brands Hatch,Race circuit,GBR
Red Bull Ring,Race circuit,AUT
Circuit Park Zandvoort,Race circuit,NLD
Autodromo Enzo e Dino Ferrari,Race circuit,ITA
Circuit Gilles Villeneuve,Street circuit,CAN
Hockenheimring,Race circuit,DEU
Autódromo Internacional Nelson Piquet,Race circuit,BRA
Dijon-Prenois,Race circuit,FRA
Jarama,Race circuit,ESP
Silverstone Circuit,Race circuit,GBR
Autodromo Nazionale di Monza,Race circuit,ITA
Las Vegas Street Circuit,Street circuit,USA
Detroit Street Circuit,Street circuit,USA
Circuit de Spa-Francorchamps,Race circuit,BEL
Nürburgring,Race circuit,DEU
Fair Park,Street circuit,USA
Autódromo do Estoril,Race circuit,PRT
Adelaide Street Circuit,Street circuit,AUS
Circuito de Jerez,Race circuit,ESP
Hungaroring,Race circuit,HUN
Autódromo Hermanos Rodríguez,Race circuit,MEX
Suzuka Circuit,Race circuit,JPN
Phoenix street circuit,Street circuit,USA
Circuit de Nevers Magny-Cours,Race circuit,FRA
Circuit de Barcelona-Catalunya,Race circuit,ESP
Donington Park,Race circuit,GBR
Okayama International Circuit,Race circuit,JPN
Albert Park Grand Prix Circuit,Street circuit,AUS
Sepang International Circuit,Race circuit,MYS
Indianapolis Motor Speedway,Race circuit,USA
Bahrain International Circuit,Race circuit,BHR
Shanghai International Circuit,Race circuit,CHN
Istanbul Park,Race circuit,TUR
Fuji Speedway,Race circuit,JPN
Valencia Street Circuit,Street circuit,ESP
Marina Bay Street Circuit,Street circuit,SGP
Yas Marina Circuit,Race circuit,ARE
Korean International Circuit,Race circuit,KOR
Buddh International Circuit,Race circuit,IND
Circuit of the Americas,Race circuit,USA
Sochi Autodrom,Race circuit,RUS
Baku City Circuit,Street circuit,AZE
Autodromo Internazionale del Mugello,Race circuit,ITA
Autódromo Internacional do Algarve,Race circuit,PRT
Jeddah Corniche Circuit,Street circuit,SAU
Losail International Circuit,Race circuit,QAT
Miami International Autodrome,Street circuit,USA
Las Vegas Strip Street Circuit,Street circuit,USA
